"month","AirParticle","AverageValue"
1,"PM10_avg",20.7252573924731
1,"NI_OX_avg",18.0508534475806
1,"NI_DX_avg",31.7206716397849
1,"NOasNI_avg",59.3982601545699
2,"PM10_avg",22.2260545977012
2,"NI_OX_avg",11.1813425862069
2,"NI_DX_avg",21.8828416594828
2,"NOasNI_avg",39.027327183908
3,"PM10_avg",20.3447392473118
3,"NI_OX_avg",8.17313739247312
3,"NI_DX_avg",20.0194296370968
3,"NOasNI_avg",32.5513977688172
4,"PM10_avg",27.8339291666667
4,"NI_OX_avg",2.98473640972222
4,"NI_DX_avg",18.6437139513889
4,"NOasNI_avg",23.2202449166667
5,"PM10_avg",20.310309811828
5,"NI_OX_avg",3.0181897311828
5,"NI_DX_avg",13.9341701142473
5,"NOasNI_avg",18.561995672043
6,"PM10_avg",16.6394402777778
6,"NI_OX_avg",4.73933375694444
6,"NI_DX_avg",14.9726357777778
6,"NOasNI_avg",22.2395121736111
7,"PM10_avg",12.2248911290323
7,"NI_OX_avg",7.60972960349462
7,"NI_DX_avg",16.059327641129
7,"NOasNI_avg",27.7274164112903
8,"PM10_avg",19.3129690860215
8,"NI_OX_avg",7.97512458333333
8,"NI_DX_avg",22.5585776948925
8,"NOasNI_avg",34.7869311021505
9,"PM10_avg",14.4030822916667
9,"NI_OX_avg",10.0229665694444
9,"NI_DX_avg",22.9848979513889
9,"NOasNI_avg",38.3532317361111
10,"PM10_avg",12.8437043010753
10,"NI_OX_avg",11.5673895295699
10,"NI_DX_avg",23.3676195833333
10,"NOasNI_avg",41.1040352956989
11,"PM10_avg",18.9294652777778
11,"NI_OX_avg",9.16581041666667
11,"NI_DX_avg",23.6754442916667
11,"NOasNI_avg",37.7294905416667
12,"PM10_avg",15.7384005376344
12,"NI_OX_avg",11.4497942405914
12,"NI_DX_avg",24.6882393145161
12,"NOasNI_avg",42.2443449865591
