"Date","Time","Nitrogen_Oxides_as_Nitrogen_Dioxide","Status_NOasND","Unit_NOasSAND"
2018-12-20,01:00:00,24.8307,"R","ugm-3"
2018-12-20,02:00:00,23.03825,"R","ugm-3"
2018-12-20,03:00:00,12.75802,"R","ugm-3"
2018-12-20,04:00:00,16.44836,"R","ugm-3"
2018-12-20,05:00:00,15.07766,"R","ugm-3"
2018-12-20,06:00:00,23.09097,"R","ugm-3"
2018-12-20,07:00:00,65.26625,"R","ugm-3"
2018-12-20,08:00:00,61.2596,"R","ugm-3"
2018-12-20,09:00:00,85.66855,"R","ugm-3"
2018-12-20,10:00:00,66.95327,"R","ugm-3"
2018-12-20,11:00:00,59.11569,"R","ugm-3"
2018-12-20,12:00:00,55.67138,"R","ugm-3"
2018-12-20,13:00:00,63.84284,"R","ugm-3"
2018-12-20,14:00:00,68.16581,"R","ugm-3"
2018-12-20,15:00:00,65.26625,"R","ugm-3"
2018-12-20,16:00:00,83.34891,"R","ugm-3"
2018-12-20,17:00:00,76.60086,"R","ugm-3"
2018-12-20,18:00:00,92.153,"R","ugm-3"
2018-12-20,19:00:00,91.30949,"R","ugm-3"
2018-12-20,20:00:00,66.42608,"R","ugm-3"
2018-12-20,21:00:00,61.41776,"R","ugm-3"
2018-12-20,22:00:00,43.33511,"R","ugm-3"
2018-12-20,23:00:00,37.37785,"R","ugm-3"
2018-12-20,23:59:00,31.68418,"R","ugm-3"
2019-01-03,01:00:00,29.78896,"R","ugm-3"
2019-01-03,02:00:00,15.07967,"R","ugm-3"
2019-01-03,03:00:00,17.24902,"R","ugm-3"
2019-01-03,04:00:00,14.23309,"R","ugm-3"
2019-01-03,05:00:00,13.8098,"R","ugm-3"
2019-01-03,06:00:00,19.47129,"R","ugm-3"
2019-01-03,07:00:00,51.27087,"R","ugm-3"
2019-01-03,08:00:00,53.17567,"R","ugm-3"
2019-01-03,09:00:00,65.66269,"R","ugm-3"
2019-01-03,10:00:00,96.72151,"R","ugm-3"
2019-01-03,11:00:00,40.37118,"R","ugm-3"
2019-01-03,12:00:00,34.44513,"R","ugm-3"
