"Date","Time","Nitric_Oxide","Status_NO","Unit_NO"
2018-12-20,01:00:00,4.67899,"R","ugm-3"
2018-12-20,02:00:00,5.34243,"R","ugm-3"
2018-12-20,03:00:00,1.81573,"R","ugm-3"
2018-12-20,04:00:00,1.01262,"R","ugm-3"
2018-12-20,05:00:00,3.00294,"R","ugm-3"
2018-12-20,06:00:00,3.07277,"R","ugm-3"
2018-12-20,07:00:00,16.69073,"R","ugm-3"
2018-12-20,08:00:00,17.00499,"R","ugm-3"
2018-12-20,09:00:00,24.72183,"R","ugm-3"
2018-12-20,10:00:00,20.77611,"R","ugm-3"
2018-12-20,11:00:00,17.0399,"R","ugm-3"
2018-12-20,12:00:00,18.15728,"R","ugm-3"
2018-12-20,13:00:00,20.9507,"R","ugm-3"
2018-12-20,14:00:00,20.53169,"R","ugm-3"
2018-12-20,15:00:00,20.9507,"R","ugm-3"
2018-12-20,16:00:00,23.39495,"R","ugm-3"
2018-12-20,17:00:00,24.16314,"R","ugm-3"
2018-12-20,18:00:00,27.51526,"R","ugm-3"
2018-12-20,19:00:00,29.08656,"R","ugm-3"
2018-12-20,20:00:00,18.15728,"R","ugm-3"
2018-12-20,21:00:00,13.40845,"R","ugm-3"
2018-12-20,22:00:00,6.38996,"R","ugm-3"
2018-12-20,23:00:00,9.07864,"R","ugm-3"
2018-12-20,23:59:00,7.08832,"R","ugm-3"
2019-01-03,01:00:00,1.08658,"R","ugm-3"
2019-01-03,02:00:00,0.42061,"R","ugm-3"
2019-01-03,03:00:00,0.73607,"R","ugm-3"
2019-01-03,04:00:00,0.66597,"R","ugm-3"
2019-01-03,05:00:00,1.01648,"R","ugm-3"
2019-01-03,06:00:00,1.26183,"R","ugm-3"
2019-01-03,07:00:00,8.76272,"R","ugm-3"
2019-01-03,08:00:00,8.76272,"R","ugm-3"
2019-01-03,09:00:00,10.37506,"R","ugm-3"
2019-01-03,10:00:00,21.24083,"R","ugm-3"
2019-01-03,11:00:00,9.81424,"R","ugm-3"
2019-01-03,12:00:00,6.44936,"R","ugm-3"
2019-01-03,13:00:00,8.58746,"R","ugm-3"
2019-01-03,14:00:00,6.0638,"R","ugm-3"
2019-01-03,15:00:00,4.62672,"R","ugm-3"
2019-01-03,16:00:00,15.38733,"R","ugm-3"
2019-01-03,17:00:00,13.77499,"R","ugm-3"
2019-01-03,18:00:00,11.46163,"R","ugm-3"
2019-01-03,19:00:00,5.15248,"R","ugm-3"
2019-01-03,20:00:00,8.58746,"R","ugm-3"
2019-01-03,21:00:00,10.83072,"R","ugm-3"
2019-01-03,22:00:00,9.32353,"R","ugm-3"
2019-01-03,23:00:00,12.82862,"R","ugm-3"
2019-01-03,23:59:00,7.50089,"R","ugm-3"
2020-03-19,01:00:00,1.54048,"R","ugm-3"
2020-03-19,02:00:00,1.84002,"R","ugm-3"
2020-03-19,03:00:00,0.64187,"R","ugm-3"
2020-03-19,04:00:00,0.4814,"R","ugm-3"
2020-03-19,05:00:00,2.15025,"R","ugm-3"
2020-03-19,06:00:00,4.71772,"R","ugm-3"
2020-03-19,07:00:00,9.21079,"R","ugm-3"
2020-03-19,08:00:00,15.72573,"R","ugm-3"
2020-03-19,09:00:00,2.95259,"R","ugm-3"
2020-03-19,10:00:00,3.75492,"R","ugm-3"
2020-03-19,11:00:00,2.95259,"R","ugm-3"
2020-03-19,12:00:00,1.89351,"R","ugm-3"
2020-03-19,13:00:00,2.407,"R","ugm-3"
2020-03-19,14:00:00,11.61779,"R","ugm-3"
2020-03-19,15:00:00,7.76659,"R","ugm-3"
2020-03-19,16:00:00,6.45076,"R","ugm-3"
2020-03-19,17:00:00,7.92705,"R","ugm-3"
2020-03-19,18:00:00,6.57913,"R","ugm-3"
2020-03-19,19:00:00,8.82567,"R","ugm-3"
2020-03-19,20:00:00,2.18235,"R","ugm-3"
2020-03-19,21:00:00,0.99489,"R","ugm-3"
2020-03-19,22:00:00,1.02699,"R","ugm-3"
2020-03-19,23:00:00,0.73815,"R","ugm-3"
2020-03-19,23:59:00,0.54559,"R","ugm-3"
2020-03-26,01:00:00,0.4287,"R","ugm-3"
2020-03-26,02:00:00,0.77167,"R","ugm-3"
2020-03-26,03:00:00,1.25396,"R","ugm-3"
2020-03-26,04:00:00,0.38583,"R","ugm-3"
2020-03-26,05:00:00,1.41472,"R","ugm-3"
2020-03-26,06:00:00,1.89701,"R","ugm-3"
2020-03-26,07:00:00,6.20548,"R","ugm-3"
2020-03-26,08:00:00,6.68777,"R","ugm-3"
2020-03-26,09:00:00,9.19569,"R","ugm-3"
2020-03-26,10:00:00,7.42729,"R","ugm-3"
2020-03-26,12:00:00,4.50139,"R","ugm-3"
2020-03-26,13:00:00,3.31173,"R","ugm-3"
2020-03-26,14:00:00,2.73298,"R","ugm-3"
2020-03-26,15:00:00,3.34389,"R","ugm-3"
2020-03-26,16:00:00,1.73625,"R","ugm-3"
2020-03-26,17:00:00,1.86486,"R","ugm-3"
